Timestamp,I hereby consent to the aforementioned student’s processing of data concerning me in connection with her degree programme at Aarhus University. My personal data will be used in the aforementioned project.,"Please fill out the online form following this link: https://aphantasia.com/study/vviq/?srsltid=AfmBOoqpD_YSyKqFIYVIx9SRcqIxuifhx3ek-8hpQHM17khqBhCC0Qqc and choose which group you belong to according to the questionaire!
",What was written on the envelope that Emma opened first?  ,What detail about the handwriting in the letter stood out?  ,What location was mentioned in the letter that connected Emma to her grandmother’s house?  ,How did Emma feel while reading the letters?   ,What happened outside while Emma was reading the letters?,Why was Emma surprised by the contents of the letter?  ,What did Emma learn about her family from reading the letters?  ,What does the phrase “The house by the willow tree” signify in the story?  ,How does the storm outside mirror Emma’s emotional journey?  ,What do you think the author intended by ending the story with Emma unable to “close the door” on the past?  ,How did you feel while reading about Emma’s discovery of the letters?  ,"Did you find the story’s descriptions (e.g., the rain, the attic) vivid or engaging? Why or why not?  ",What moment in the story evoked the strongest emotional response in you?  ,"Could you imagine being in Emma’s place? If so, how did it feel?  ",Did you feel connected to the story’s theme of uncovering family secrets? Why or why not?  
04/12/2024 17:50:52,Confirm,Aphantasia,Amelia,The ink was faded,The shack by the oak tree,"Neutral, it was just another evening","The early night's silence fell on the neighbourhood, the crickets started to sing their song",Her grandmother died before she was born and this letter helped her get to know her late grandmother.,The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",krnsek,kjfsk,sjkfsakb,ksfsakfb,kjfnskdfnz,jdfbshfb,skfb
04/12/2024 18:42:35,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","""tornado inside her"" outlasted the storm, emotional turmoil","I do noy know, I do not recall","good, since well written","vivid, use of many descriptive words ""dusty envelopes"" etc.","description of surrounding, attic, smell of coffee. rain outside","cozy, compared to outside","not really, but still I was interested"
05/12/2024 13:30:48,Confirm,Phantasia,Amelia,The ink was faded,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","Her emotions feel the same as the storm: loud, outraging, chaotic","She could not just go on with her life without thinking about this, meaning she had to find out more about the past before letting it go",mysterious and interested,"Very vivid, felt like I could hear the rain and see the storm",The moment she started reading the letters,"Yes, I would feel very confused",Not directly but a little bit because I have experienced going through old things belonging to my grandparents and feeling like they belong to another world
05/12/2024 13:32:00,Confirm,Hyperphantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",well at first it's coherent with her unsteady emotions and then it's the opposite - the storm stops but emma is still not calm,she was unable to unsee the things she read about,"neutral, i don't have an emotional connection to emma","yes, vivid in the sense that the text was filled with detailed description, so it was easy to imagine details but not very engaging - it was pretty static and did not prompt many thoughts since, at least for me, in a text as short as this one it is difficult to really connect to the story and care about what happens next",i guess the mention of the tears - i wasn't engaged enough to care about emma's grandmother's love story but i can feel empathetic towards a character i don't know well,"not really, i find it unrealistic","no not really, it seemed very distant"
05/12/2024 13:34:21,Confirm,Phantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","It kind of follows her emotions when she is reading, but then it does the opposite (quiets down) when she goes fully into inner turmoil.",To give a hook for the story that is to follow,"It was very fun to go through the emotional journey with her (fun, because I just saw a snippet and so was not emotionally attached)","Yes, I did, I think using the movement of the surroundings in combo with the emotional journey and the suspension(?) made it engaging, since there was a lot of movement on all levels of the story leading to a climax",The house by the willow,Exciting and scary and confusing,"In some ways. Not that I had a similar experience, but I like to dream of reading letters and discovering thoughts of my elders"
05/12/2024 13:48:22,Confirm,Hyperphantasia,Amelia,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","It is dark, rainy and loudly. She is crying loudly and is sad",That she is having a hard timing giving up her past,I felt my heart beat go faster and feeling her and the story ,"Vivid, because it made me see the situation in front of my eyes. ",When the storm hot and she cries,"Yes, when i read it. It was like i was going through it myself. It was scary but also sad",Not exactly. Maybe a bit but nothing serious 
05/12/2024 14:22:28,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","There was a ""tornado raging"" in her, similar to the storm outside.","Emma was not able to ""close the door"" because after reading these letters there is now a new truth to her family that cannot be simply put away  by not thinking about it.",Anxious for her,I found them engaging. I think it is much easier to find something associated negatively like rain and storms to be engaging in comparison to sun and clear skies. The storm creates a worry for me as the reader and sets a grim atmosphere.,"When Emma could not resist opening more envelopes, seeking to find out the contents. It was the tipping point of finding out if something inside could be good, bad, neutral etc, which brings my previous emotions to a critical point.","I could. It feels anxiety inducing, but also a satisfaction from obtaining knowledge which should be forbidden.","I did feel connected to the story's theme, as I have experienced something similar myself. "
05/12/2024 14:26:39,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.",The storm wears off as Emma gradually develops an understanding of the family history.,Did not remember that phrase.,Nervous - like I imagined Emma to feel.,Very vivid - they set the scene in a very concrete way.,Her not noticing the tears was moving.,"Nervous, frightening.",I guess many people want information about what they come from.
05/12/2024 14:34:10,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Sad and outraged,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","The emotions are intense with deep and painful rumbles, there are tears falling like intense rain.",It meant that she can't forget about what she has read and now she knows about her origins and thus something about herself that will impact her image of herself. She might also get curious and want to find out more and she won't be able to control the curiosity. ,"The story seemed well written, I was getting a bit curious about the things the writer was criptic about. I guess it was kind of enjoyable.","They were engaging, but I found it difficult to pay attention to every detail of the scene.","I didn't respond very emotionally since I don't know a lot about the characters and the bigger picture, but maybe the thought of lovers being separated.",Not really. Maybe I felt the curiosity about the letters a bit and getting to know things about the past before you were born.,"Not really, since I don't know if my family has any secrets or what kind. I also don't get very emotional over family stories. They are interesting, but seem distant."
05/12/2024 14:34:14,Confirm,Phantasia,There was no mention of this,It was elegant and cursive,The house by the willow tree,Happy and excited that she found out something new about her family,There was a storm with raindrops hitting the window in a steady rythmn,"The letter revealed a story of love, longing, and unspoken goodbyes involving her family.",The letters hinted at a hidden family history involving forbidden love and decisions that shaped her family’s past.,"It signifies a connection to Emma’s grandmother’s house, linking the letters to her own family.","Semantic words in the story allign with the description of the weather. It starts soft and then becomes more violent and inside Emma, there’s described as being a ‘tornado’",That she intends to continue searching for information about her family’s past,"I did not really feel any interest in the story, as i had yet to gain any real connection with the character yet due to the shortness of the story","Somewhat, i could definitely image the scenery og how she sat on the attic with the rain pattering on the windows",The ‘tornado’ part,"Not really, i wouldnt really give a shit about a love affair from my family’s past","Nope, i have not experienced any of this so cant really imagine reacting so violently"
